test_year,status,n_test,test_auc,base_rate,top10_n,top10_precision,top10_edge,candidate_name,matrix,snapshot,side,label
2020,ok,407,0.7409,0.6658,41,0.9268,0.2610,opening_gap_broad / gap_down / resistance_rejection_3bar (winner),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_down,label.next_60m.resistance_rejection_3bar
2021,ok,294,0.7663,0.5476,29,1.0000,0.4524,opening_gap_broad / gap_down / resistance_rejection_3bar (winner),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_down,label.next_60m.resistance_rejection_3bar
2022,ok,411,0.8067,0.7007,41,1.0000,0.2993,opening_gap_broad / gap_down / resistance_rejection_3bar (winner),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_down,label.next_60m.resistance_rejection_3bar
2023,ok,427,0.7567,0.7681,43,0.9767,0.2086,opening_gap_broad / gap_down / resistance_rejection_3bar (winner),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_down,label.next_60m.resistance_rejection_3bar
2024,ok,337,0.6471,0.5697,34,0.7941,0.2244,opening_gap_broad / gap_down / resistance_rejection_3bar (winner),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_down,label.next_60m.resistance_rejection_3bar
2025,ok,427,0.7765,0.6136,43,1.0000,0.3864,opening_gap_broad / gap_down / resistance_rejection_3bar (winner),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_down,label.next_60m.resistance_rejection_3bar
2020,ok,479,0.6925,0.6868,48,1.0000,0.3132,opening_gap_broad / gap_up / support_rejection_3bar (mirror),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_60m.support_rejection_3bar
2021,ok,540,0.7537,0.6463,54,0.9259,0.2796,opening_gap_broad / gap_up / support_rejection_3bar (mirror),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_60m.support_rejection_3bar
2022,ok,443,0.6867,0.6569,44,0.8636,0.2068,opening_gap_broad / gap_up / support_rejection_3bar (mirror),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_60m.support_rejection_3bar
2023,ok,417,0.7190,0.6187,42,0.8333,0.2146,opening_gap_broad / gap_up / support_rejection_3bar (mirror),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_60m.support_rejection_3bar
2024,ok,535,0.7353,0.6318,54,1.0000,0.3682,opening_gap_broad / gap_up / support_rejection_3bar (mirror),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_60m.support_rejection_3bar
2025,ok,440,0.7484,0.6955,44,1.0000,0.3045,opening_gap_broad / gap_up / support_rejection_3bar (mirror),opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_60m.support_rejection_3bar
2020,ok,886,0.8455,0.3736,89,0.8427,0.4691,opening_gap_broad / all / unfilled_at_window_end,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.unfilled_at_window_end
2021,ok,834,0.7973,0.2722,83,0.8313,0.5591,opening_gap_broad / all / unfilled_at_window_end,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.unfilled_at_window_end
2022,ok,854,0.8460,0.3548,85,0.9059,0.5511,opening_gap_broad / all / unfilled_at_window_end,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.unfilled_at_window_end
2023,ok,844,0.7899,0.3318,84,0.8690,0.5373,opening_gap_broad / all / unfilled_at_window_end,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.unfilled_at_window_end
2024,ok,872,0.8460,0.2970,87,0.8736,0.5765,opening_gap_broad / all / unfilled_at_window_end,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.unfilled_at_window_end
2025,ok,867,0.8555,0.3449,87,0.9080,0.5632,opening_gap_broad / all / unfilled_at_window_end,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.unfilled_at_window_end
2020,ok,886,0.8504,0.3736,89,0.8876,0.5141,opening_gap_strict / all / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_60m.partial_touch_rejected
2021,ok,834,0.7950,0.2722,83,0.8072,0.5350,opening_gap_strict / all / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_60m.partial_touch_rejected
2022,ok,854,0.8481,0.3548,85,0.9059,0.5511,opening_gap_strict / all / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_60m.partial_touch_rejected
2023,ok,844,0.7909,0.3318,84,0.8810,0.5492,opening_gap_strict / all / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_60m.partial_touch_rejected
2024,ok,872,0.8477,0.2970,87,0.8966,0.5995,opening_gap_strict / all / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_60m.partial_touch_rejected
2025,ok,867,0.8536,0.3449,87,0.9080,0.5632,opening_gap_strict / all / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_60m.partial_touch_rejected
2020,ok,407,0.8927,0.3857,41,0.9756,0.5899,opening_gap_strict / gap_down / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected
2021,ok,294,0.8353,0.2517,29,0.8276,0.5759,opening_gap_strict / gap_down / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected
2022,ok,411,0.8816,0.3966,41,0.9268,0.5302,opening_gap_strict / gap_down / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected
2023,ok,427,0.7748,0.3513,43,0.9070,0.5557,opening_gap_strict / gap_down / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected
2024,ok,337,0.7697,0.2018,34,0.7941,0.5923,opening_gap_strict / gap_down / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected
2025,ok,427,0.8203,0.3021,43,0.6977,0.3956,opening_gap_strict / gap_down / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected
2020,ok,93,0.9392,0.3656,9,1.0000,0.6344,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2021,ok,114,0.9919,0.3509,11,1.0000,0.6491,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2022,ok,95,0.9660,0.4526,10,1.0000,0.5474,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2023,ok,130,0.9549,0.4077,13,1.0000,0.5923,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2024,ok,142,0.9574,0.4437,14,1.0000,0.5563,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2025,ok,125,0.9546,0.4320,12,1.0000,0.5680,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2020,ok,93,0.9675,0.3763,9,1.0000,0.6237,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2021,ok,114,0.9891,0.3421,11,1.0000,0.6579,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2022,ok,95,0.9705,0.4526,10,1.0000,0.5474,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2023,ok,130,0.9719,0.4000,13,1.0000,0.6000,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2024,ok,142,0.9700,0.4507,14,1.0000,0.5493,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2025,ok,125,0.9437,0.4320,12,0.9167,0.4847,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2020,ok,93,0.9392,0.3656,9,1.0000,0.6344,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2021,ok,114,0.9919,0.3509,11,1.0000,0.6491,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2022,ok,95,0.9660,0.4526,10,1.0000,0.5474,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2023,ok,130,0.9549,0.4077,13,1.0000,0.5923,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2024,ok,142,0.9574,0.4437,14,1.0000,0.5563,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2025,ok,125,0.9546,0.4320,12,1.0000,0.5680,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2020,ok,3826,0.8852,0.2378,383,0.7572,0.5193,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2021,ok,3834,0.8816,0.2293,383,0.7807,0.5514,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2022,ok,3822,0.8880,0.2308,382,0.7539,0.5232,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2023,ok,3813,0.8938,0.2373,381,0.7953,0.5579,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2024,ok,3831,0.8840,0.2582,383,0.8042,0.5460,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2025,ok,3786,0.8975,0.2470,379,0.8522,0.6053,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2020,ok,3826,0.8938,0.1657,383,0.6893,0.5236,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
2021,ok,3834,0.8686,0.1839,383,0.6893,0.5054,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
2022,ok,3822,0.8709,0.2159,382,0.7749,0.5590,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
2023,ok,3813,0.8700,0.2119,381,0.7664,0.5545,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
2024,ok,3831,0.8834,0.1926,383,0.7598,0.5672,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
2025,ok,3786,0.8728,0.1936,379,0.6966,0.5030,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
