matrix,snapshot,side,label,n_filtered,n_folds_ok,gpu_mean_auc,gpu_min_auc,gpu_top_lift,gpu_base_rate,cpu_mean_auc,cpu_min_auc,cpu_top_lift,cpu_base_rate,delta_mean_auc,delta_top_lift,status,elapsed_s
forming_vp_snapshots_xctx_gapctx,at_fire,balanced,label.rest_of_day.range_expanded_1x_profile_so_far,23666,6,0.9516384251846941,0.9232934135477382,0.2721316856694702,0.7278683143305299,0.9518279362865286,0.9245470239248,0.27136363651432427,0.7278683143305299,-0.00018951110183451636,0.0007680491551459445,ok,29.3
forming_vp_snapshots_xctx_gapctx,at_fire,all,label.rest_of_day.range_expanded_1x_profile_so_far,42521,6,0.9503426358701138,0.9168109348816352,0.29554114092198397,0.7035851015772144,0.9500252850042853,0.9168085746654393,0.2955457096354343,0.7035851015772144,0.000317350865828514,-4.5687134503369364e-06,ok,38.5
forming_vp_snapshots_xctx_gapctx,at_fire,buying,label.rest_of_day.range_expanded_1x_profile_so_far,10887,6,0.9435166894549708,0.9060535529561551,0.33008504095647057,0.666938768567339,0.943039640365935,0.9046278613299381,0.33008504095647057,0.666938768567339,0.0004770490890357859,0.0,ok,19.6
forming_vp_snapshots_xctx_gapctx,at_fire,selling,label.rest_of_day.range_expanded_1x_profile_so_far,7968,6,0.9424354348843824,0.9002916514764856,0.31475067435099247,0.6832412935204935,0.9424597589362494,0.9040123522978276,0.31166935139015145,0.6832412935204935,-2.4324051867030683e-05,0.0030813229608410153,ok,15.9
forming_vp_snapshots_xctx_gapctx,at_fire,selling,label.next_60m.took_profile_so_far_high,7968,6,0.9177627964047267,0.8932011552572009,0.5199963880307544,0.1516271910875093,0.9157704336303353,0.8946842557177426,0.523966960303949,0.1516271910875093,0.0019923627743914096,-0.003970572273194528,ok,12.5
forming_vp_snapshots_xctx_gapctx,at_fire,buying,label.next_60m.took_profile_so_far_low,10884,6,0.9040569234857196,0.8710526315789473,0.5243109193490028,0.13147296122355637,0.8985377797622999,0.8774479804161568,0.5314146866774245,0.13147296122355637,0.005519143723419773,-0.007103767328421773,ok,12.6
forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high,42511,6,0.88833804180064,0.8815532186437056,0.5500300668915924,0.24005759592879247,0.8872750221151766,0.8819790216924708,0.5421604570279993,0.24005759592879247,0.0010630196854634066,0.007869609863593086,ok,31.2
forming_vp_snapshots_xctx_gapctx,at_fire,balanced,label.next_60m.took_profile_so_far_high,23659,6,0.8823938034860803,0.8724544755065401,0.5499419993300096,0.2310090150245079,0.8826315954199465,0.8732185603146105,0.5576030098948727,0.2310090150245079,-0.0002377919338661938,-0.007661010564863013,ok,19.9
forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low,42511,6,0.8765859976147934,0.8686469970919493,0.5358766346776609,0.19393310185708681,0.875536636454556,0.8684060572679737,0.5384772222454898,0.19393310185708681,0.0010493611602373498,-0.0026005875678288826,ok,25.7
forming_vp_snapshots_xctx_gapctx,at_fire,buying,label.next_60m.took_profile_so_far_low_rejected_inside,10884,6,0.8829094112049362,0.8473524675570712,0.2777210614337884,0.06652334792058577,0.8754018507744918,0.8504073126835275,0.24682848331427762,0.06652334792058577,0.0075075604304443155,0.030892578119510766,ok,11.6
forming_vp_snapshots_xctx_gapctx,at_fire,selling,label.next_60m.took_profile_so_far_high_rejected_inside,7968,6,0.873362321977043,0.8372098928444467,0.20021272816134258,0.07497113625002007,0.864713023010112,0.8155756436950891,0.20735022936333705,0.07497113625002007,0.008649298966931007,-0.007137501201994467,ok,9.5
forming_vp_snapshots_xctx_gapctx,at_fire,buying,label.next_60m.took_profile_so_far_high,10884,6,0.8609608651396558,0.8438896278863535,0.5106398803579175,0.32222298705421726,0.8599730067887769,0.8465668739433605,0.5061738084502259,0.32222298705421726,0.0009878583508788896,0.00446607190769166,ok,13.8
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.took_fvg_high,209103,6,0.8905285337734071,0.877070114919584,0.07878613520474527,0.9207838896206156,0.8878323254906594,0.8742666083674477,0.07852924116356208,0.9207838896206156,0.0026962082827477474,0.00025689404118318937,ok,154.4
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.took_fvg_low,209103,6,0.8632579571641137,0.8390077123431972,0.10592452469157887,0.8939891642433425,0.8617999823459921,0.8347625078436136,0.10532438751736761,0.8939891642433425,0.001457974818121599,0.0006001371742112571,ok,137.8
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.closed_outside_fvg_range,209103,6,0.749159676169216,0.7236137762427655,0.03373438498763524,0.9620474638531279,0.7451901267574482,0.7168977537334829,0.033134359522776734,0.9620474638531279,0.003969549411767748,0.0006000254648585029,ok,130.3
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.closed_inside_fvg_range,209103,6,0.749159701504372,0.723613885502642,0.08708468486797605,0.037952536146872225,0.7451901267574482,0.7168977537334829,0.08595596827742576,0.037952536146872225,0.003969574746923832,0.001128716590550291,ok,131.3
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bearish,label.zone_reaction.closed_outside_fvg_range,95917,6,0.7471298295998406,0.7384144850956676,0.03641436877212425,0.9588545788571676,0.7439811672101474,0.7320704998209128,0.035480866473341255,0.9588545788571676,0.0031486623896932464,0.0009335022987829941,ok,71.8
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bearish,label.zone_reaction.closed_inside_fvg_range,95917,6,0.7471299261058569,0.738414764140308,0.09067736722802545,0.04114542114283244,0.7439811672101474,0.7320704998209128,0.0939647523357413,0.04114542114283244,0.003148758895709536,-0.00328738510771584,ok,70.7
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bearish,label.zone_reaction.took_fvg_low_rejected_inside,95917,6,0.747323494662797,0.7401851682578015,0.09107797208970796,0.041068198084027084,0.7438126409330065,0.7307007079514705,0.08957262985187626,0.041068198084027084,0.0035108537297905418,0.0015053422378316916,ok,65.2
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.mitigation.fully_filled,209103,6,0.7373410331540549,0.6967106909793456,0.12915183429233826,0.8196643275842223,0.7362136298735793,0.69464477297558,0.13011910665982876,0.8196643275842223,0.0011274032804755585,-0.0009672723674905015,ok,157.4
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.took_fvg_low_rejected_inside,209103,6,0.736263968284907,0.7137450768602303,0.07249930094791025,0.03576231546676483,0.7319771158993539,0.7102468696914044,0.06852171505067282,0.03576231546676483,0.004286852385553153,0.003977585897237429,ok,130.5
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.zone_reaction.closed_outside_fvg_range,113186,6,0.7349515494612051,0.696332458651357,0.029685690158750888,0.9646478431359128,0.7317118840201688,0.6918159125096992,0.03062260141014596,0.9646478431359128,0.0032396654410362657,-0.0009369112513950735,ok,73.0
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.zone_reaction.closed_inside_fvg_range,113186,6,0.7349515658706868,0.6963325923402672,0.07524342405970373,0.035352156864087075,0.7317118840201688,0.6918159125096991,0.06995169892207032,0.035352156864087075,0.003239681850517928,0.005291725137633416,ok,72.1
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.zone_reaction.took_fvg_high_rejected_inside,113186,6,0.7342991683835084,0.6893326410030305,0.07366139240025188,0.035352156864087075,0.7293624078373592,0.6875095253348505,0.07020301499503016,0.035352156864087075,0.0049367605461492214,0.003458377405221716,ok,76.0
itr_snapshots_xctx,at_fire,bullish,label.next_interval.compressed_range_0_75x,19216,6,0.7941732291983284,0.7619955329636476,0.4430957888600366,0.30769099818967427,0.793615326769621,0.7532806649604246,0.43469658548391726,0.30769099818967427,0.0005579024287074574,0.008399203376119324,ok,14.8
itr_snapshots_xctx,at_fire,all,label.next_interval.range_expanded_2x_interval,35572,6,0.7936593606837564,0.7151317245337998,0.27990570725631453,0.1006430511983376,0.7912361332552683,0.7116399263560275,0.2731284334213541,0.1006430511983376,0.002423227428488106,0.006777273834960407,ok,17.1
itr_snapshots_xctx,at_fire,all,label.next_interval.compressed_range_0_75x,35572,6,0.790471463503193,0.7593368468592885,0.42545948488308305,0.2976802023505341,0.7892143694356523,0.7573530806046679,0.446314379017776,0.2976802023505341,0.0012570940675407094,-0.020854894134692936,ok,21.7
itr_snapshots_xctx,at_fire,bearish,label.next_interval.range_expanded_2x_interval,16129,6,0.7951441437875154,0.7548837841273179,0.2745808902772066,0.10210551796802585,0.7855826199204282,0.7296698508463215,0.24888410968250027,0.10210551796802585,0.009561523867087196,0.025696780594706342,ok,10.6
itr_snapshots_xctx,at_fire,bullish,label.next_interval.range_expanded_2x_interval,19216,6,0.7905365830453897,0.6989514532140816,0.26521336038018717,0.09867456371365223,0.7834409080472157,0.6846967320956318,0.2710033719575928,0.09867456371365223,0.007095674998173984,-0.005790011577405607,ok,14.1
itr_snapshots_xctx,at_fire,bearish,label.next_interval.compressed_range_0_75x,16129,6,0.7805545758296729,0.7280388933058539,0.4186208053132192,0.2870317855280862,0.7755881228155278,0.7169261526348696,0.40535850352403663,0.2870317855280862,0.004966453014145111,0.013262301789182585,ok,12.8
itr_snapshots_xctx,at_fire,bullish,label.next_interval.range_expanded_1x_interval,19216,6,0.7707178424407942,0.7132065446233432,0.3859704308771857,0.47767386498717873,0.7706379207401312,0.7189392306458404,0.3780378368221851,0.47767386498717873,7.992170066306592e-05,0.007932594055000575,ok,14.5
itr_snapshots_xctx,at_fire,all,label.next_interval.range_expanded_1x_interval,35572,6,0.7691964560026608,0.727560554827134,0.37186780719380225,0.48915708120330215,0.7687759579318061,0.72280903417885,0.37499620438272424,0.48915708120330215,0.0004204980708547579,-0.003128397188921994,ok,21.2
itr_snapshots_xctx,at_fire,bullish,label.next_interval.expanded_range_1_25x,19216,6,0.7670751208229225,0.7158154956474875,0.4152465805280787,0.31459394937734725,0.7674304292946755,0.71280447084461,0.40895040547818945,0.31459394937734725,-0.00035530847175302416,0.006296175049889274,ok,16.0
itr_snapshots_xctx,at_fire,all,label.next_interval.expanded_range_1_25x,35572,6,0.7703433487724537,0.7250144329593634,0.42030654013465435,0.3241334731830443,0.7660306057024373,0.7217644890364667,0.4119744331547195,0.3241334731830443,0.004312743070016389,0.008332106979934861,ok,20.2
itr_snapshots_xctx,at_fire,bearish,label.next_interval.range_expanded_1x_interval,16129,6,0.7595105507979865,0.7096099675825387,0.34835831573086723,0.5004621077013701,0.760837765565387,0.7118898121046172,0.34712938593050896,0.5004621077013701,-0.0013272147674004975,0.0012289298003582694,ok,11.8
itr_snapshots_xctx,at_fire,bearish,label.next_interval.expanded_range_1_25x,16129,6,0.7621893092005102,0.7218795193521829,0.39948767929731965,0.3334801046719141,0.7601534780833127,0.7269230862090195,0.3837140506778898,0.3334801046719141,0.0020358311171975174,0.01577362861942988,ok,12.1
macro_event_snapshots_xctx,at_fire,all,label.next_5m.range_expanded_2x_pre_15m,18160,6,0.8636245006942317,0.8100500274122806,0.293327648996769,0.06353812189198281,0.8580625260940473,0.8086908351608187,0.301609972873941,0.06353812189198281,0.005561974600184372,-0.008282323877171982,ok,13.7
macro_event_snapshots_xctx,at_fire,all,label.next_15m.range_expanded_2x_pre_60m,18180,5,0.887067574016006,0.7821922355881894,0.21290407321774532,0.03568620687761714,0.8539836133783018,0.7301495860021872,0.17869521491359333,0.03548563216812922,0.033083960637704246,0.03420885830415199,ok,10.3
macro_event_snapshots_xctx,at_fire,high,label.next_5m.range_expanded_2x_pre_15m,9206,6,0.8644204665547758,0.7852079912424741,0.3889942633064794,0.09955082243586381,0.8464745212930639,0.7540777230432403,0.359699284264112,0.09955082243586381,0.017945945261711893,0.029294979042367386,ok,9.8
macro_event_snapshots_xctx,at_fire,medium,label.next_15m.one_sided_took_pre_60m_low,8958,6,0.8424227951330053,0.8185526715239829,0.44490020014433246,0.2720253733014279,0.8404965158666414,0.8221387370977535,0.4596406127530024,0.2720253733014279,0.0019262792663639061,-0.014740412608669928,ok,10.6
macro_event_snapshots_xctx,at_fire,medium,label.next_15m.one_sided_took_pre_60m_high,8958,6,0.8393956433450499,0.7282717282717284,0.4613590287155007,0.28612488178423795,0.8404373504578174,0.7352647352647353,0.48206777587540967,0.28612488178423795,-0.0010417071127675204,-0.020708747159908947,ok,11.8
macro_event_snapshots_xctx,at_fire,medium,label.next_15m.took_pre_60m_high,8958,6,0.8374177554854866,0.7309834805993085,0.4488234402358244,0.3027620148804689,0.8366150525293655,0.7244525547445255,0.4297794629304148,0.3027620148804689,0.0008027029561210597,0.019043977305409576,ok,12.9
macro_event_snapshots_xctx,at_fire,high,label.next_15m.range_expanded_2x_pre_60m,9222,5,0.8672733843747882,0.7016871165644172,0.29059185629149387,0.06407538756818427,0.8311629335545921,0.7163634440448488,0.27322509960398017,0.06202614551933371,0.03611045082019604,0.017366756687513696,ok,9.4
macro_event_snapshots_xctx,at_fire,medium,label.next_15m.took_pre_60m_low,8958,6,0.8260127206512738,0.8052642617449665,0.44833862024525173,0.28866250639765884,0.8254702288390464,0.8009647651006713,0.42753317956610903,0.28866250639765884,0.0005424918122274303,0.020805440679142695,ok,11.2
macro_event_snapshots_xctx,at_fire,all,label.next_15m.one_sided_took_pre_60m_high,18180,6,0.8231151838683476,0.770639581585477,0.42012668395662733,0.28158329349922334,0.8196874081848211,0.756466325128077,0.4318710678048854,0.28158329349922334,0.0034277756835264794,-0.011744383848258044,ok,16.2
macro_event_snapshots_xctx,at_fire,high,label.next_15m.swept_both_pre_60m_sides,9222,5,0.7707946828400124,0.6231762065095399,0.19736452581634897,0.05609643798816781,0.7634232905199697,0.6265454545454545,0.18373864278338395,0.05321952356619162,0.007371392320042691,0.013625883032965025,ok,6.6
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_240m.partial_touch_rejected,9438,6,0.8453720202487306,0.8106564975560424,0.5258194054641606,0.22454565199215915,0.8368205398236755,0.8051365245238498,0.534001994190643,0.22454565199215915,0.008551480425055047,-0.008182588726482365,ok,22.3
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_240m.partial_touch_rejected,4873,6,0.832499034497595,0.7257554184464484,0.5206135235448782,0.21794544324471157,0.8328948533700138,0.737778832463218,0.5043623643555454,0.21794544324471157,-0.0003958188724187961,0.016251159189332842,ok,22.7
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_60m.partial_touch_rejected,4565,6,0.8324373426852549,0.7813413048251169,0.5014824356031423,0.33629013133609137,0.8295734854890681,0.7766148043375767,0.5029073995281063,0.33629013133609137,0.0028638571961868697,-0.00142496392496394,ok,18.8
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_60m.partial_touch_rejected,9438,6,0.8309354130879244,0.790862462006079,0.5491545390387582,0.32903526959745966,0.8260646255263078,0.7920909321175278,0.5695915493593278,0.32903526959745966,0.00487078756161663,-0.02043701032056955,ok,23.1
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_1d.partial_touch_rejected,9438,6,0.8441965185109072,0.8038811953352769,0.3415932829557595,0.09297507271585466,0.8247730532600747,0.7908892128279883,0.31211145445447996,0.09297507271585466,0.019423465250832495,0.02948182850127956,ok,18.7
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_240m.partial_touch_rejected,4565,6,0.8340529216084867,0.7474643991394324,0.497592949886062,0.22681982869338316,0.8222303527537904,0.7335314004712632,0.4599105705370161,0.22681982869338316,0.011822568854696236,0.03768237934904589,ok,16.9
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected,4873,6,0.8290782449955006,0.7696807347474305,0.5316534217913271,0.31486998999350396,0.8204409803149515,0.7527881040892193,0.5754531159930767,0.31486998999350396,0.00863726468054915,-0.04379969420174956,ok,23.7
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_1d.partial_touch_rejected,4565,6,0.8131479101491935,0.6964539007092199,0.32136509553293086,0.10196142362692166,0.7869114082932384,0.7356973995271868,0.26085122668572863,0.10196142362692166,0.026236501855955163,0.060513868847202223,ok,15.2
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_1d.filled_then_continued_through,9438,6,0.7730420044728025,0.7357118983957218,0.08864338796473625,0.8767040172095489,0.7617182396784131,0.7305039787798409,0.08291593190652603,0.8767040172095489,0.011323764794389346,0.00572745605821022,ok,21.0
