entry_time,entry_price,exit_time,exit_price,stop,tp,risk,direction,exit_reason,pnl_r,fvg_high,fvg_low,quarter,month,hour
2024-01-02 11:51,16779.75,2024-01-02 13:51,16716.0,16865.0,16524.0,85.25,BEARISH,timeout,0.7478005865102639,16860.0,16782.0,2024Q1,2024-01,11
2024-01-02 12:21,16767.25,2024-01-02 12:30,16757.0,16757.0,16798.0,10.25,BULLISH,SL,-1.0,16767.25,16762.0,2024Q1,2024-01,12
2024-01-03 11:19,16590.75,2024-01-03 11:20,16598.5,16598.5,16567.5,7.75,BEARISH,SL,-1.0,16593.5,16590.25,2024Q1,2024-01,11
2024-01-04 10:19,16521.5,2024-01-04 10:20,16510.25,16525.25,16510.25,3.75,BEARISH,3R,3.0,16520.25,16519.0,2024Q1,2024-01,10
2024-01-04 09:38,16481.25,2024-01-04 09:48,16452.75,16490.75,16452.75,9.5,BEARISH,3R,3.0,16485.75,16474.75,2024Q1,2024-01,9
2024-01-05 11:52,16513.0,2024-01-05 12:07,16490.5,16490.5,16580.5,22.5,BULLISH,SL,-1.0,16511.25,16495.5,2024Q1,2024-01,11
2024-01-09 13:35,16805.5,2024-01-09 15:35,16821.0,16783.5,16871.5,22.0,BULLISH,timeout,0.7045454545454546,16816.5,16788.5,2024Q1,2024-01,13
2024-01-10 09:55,16823.0,2024-01-10 10:10,16839.5,16839.5,16773.5,16.5,BEARISH,SL,-1.0,16834.5,16830.25,2024Q1,2024-01,9
2024-01-11 09:40,17013.5,2024-01-11 09:41,17016.75,17016.75,17003.75,3.25,BEARISH,SL,-1.0,17011.75,16974.0,2024Q1,2024-01,9
2024-01-15 12:04,16963.25,2024-01-15 18:05,16952.25,16952.25,16996.25,11.0,BULLISH,SL,-1.0,16962.25,16957.25,2024Q1,2024-01,12
2024-01-16 11:01,16968.5,2024-01-16 11:12,16940.5,16940.5,17052.5,28.0,BULLISH,SL,-1.0,16972.75,16945.5,2024Q1,2024-01,11
2024-01-17 10:17,16733.25,2024-01-17 11:22,16815.75,16815.75,16485.75,82.5,BEARISH,SL,-1.0,16810.75,16746.5,2024Q1,2024-01,10
2024-01-22 11:53,17490.75,2024-01-22 11:55,17499.25,17499.25,17465.25,8.5,BEARISH,SL,-1.0,17494.25,17490.5,2024Q1,2024-01,11
2024-01-23 09:39,17459.25,2024-01-23 09:40,17455.0,17455.0,17472.0,4.25,BULLISH,SL,-1.0,17466.25,17460.0,2024Q1,2024-01,9
2024-01-23 13:36,17472.5,2024-01-23 15:36,17501.25,17452.0,17534.0,20.5,BULLISH,timeout,1.4024390243902438,17474.25,17457.0,2024Q1,2024-01,13
2024-01-24 11:16,17694.25,2024-01-24 12:08,17755.75,17673.75,17755.75,20.5,BULLISH,3R,3.0,17688.5,17678.75,2024Q1,2024-01,11
2024-01-24 13:20,17732.0,2024-01-24 13:39,17719.5,17719.5,17769.5,12.5,BULLISH,SL,-1.0,17736.5,17724.5,2024Q1,2024-01,13
2024-01-25 09:33,17698.75,2024-01-25 10:03,17654.0,17654.0,17833.0,44.75,BULLISH,SL,-1.0,17690.75,17659.0,2024Q1,2024-01,9
2024-01-25 13:10,17664.0,2024-01-25 13:13,17673.0,17673.0,17637.0,9.0,BEARISH,SL,-1.0,17668.0,17666.0,2024Q1,2024-01,13
2024-01-26 09:35,17565.25,2024-01-26 09:36,17550.0,17550.0,17611.0,15.25,BULLISH,SL,-1.0,17571.5,17555.0,2024Q1,2024-01,9
2024-01-26 11:44,17582.75,2024-01-26 11:49,17600.0,17577.0,17600.0,5.75,BULLISH,3R,3.0,17594.0,17582.0,2024Q1,2024-01,11
2024-01-29 12:50,17590.25,2024-01-29 13:01,17583.75,17583.75,17609.75,6.5,BULLISH,SL,-1.0,17592.5,17588.75,2024Q1,2024-01,12
2024-01-29 09:53,17559.75,2024-01-29 09:54,17564.0,17564.0,17547.0,4.25,BEARISH,SL,-1.0,17559.0,17554.0,2024Q1,2024-01,9
2024-01-30 13:31,17599.0,2024-01-30 15:31,17594.25,17633.5,17495.5,34.5,BEARISH,timeout,0.13768115942028986,17628.5,17592.25,2024Q1,2024-01,13
2024-01-30 13:48,17579.25,2024-01-30 13:49,17575.0,17575.0,17592.0,4.25,BULLISH,SL,-1.0,17581.0,17580.0,2024Q1,2024-01,13
2024-01-31 11:08,17316.5,2024-01-31 11:09,17323.0,17323.0,17297.0,6.5,BEARISH,SL,-1.0,17318.0,17304.25,2024Q1,2024-01,11
2024-02-01 11:25,17292.25,2024-02-01 12:02,17339.75,17339.75,17149.75,47.5,BEARISH,SL,-1.0,17334.75,17294.0,2024Q1,2024-02,11
2024-02-02 11:06,17629.0,2024-02-02 11:29,17666.5,17616.5,17666.5,12.5,BULLISH,3R,3.0,17635.75,17621.5,2024Q1,2024-02,11
2024-02-05 12:39,17713.25,2024-02-05 12:40,17709.5,17709.5,17724.5,3.75,BULLISH,SL,-1.0,17717.5,17714.5,2024Q1,2024-02,12
2024-02-05 11:21,17629.25,2024-02-05 11:53,17650.5,17650.5,17565.5,21.25,BEARISH,SL,-1.0,17645.5,17633.25,2024Q1,2024-02,11
2024-02-06 09:39,17715.25,2024-02-06 09:43,17728.25,17728.25,17676.25,13.0,BEARISH,SL,-1.0,17723.25,17696.0,2024Q1,2024-02,9
2024-02-07 09:36,17754.25,2024-02-07 09:39,17738.75,17738.75,17800.75,15.5,BULLISH,SL,-1.0,17755.25,17743.75,2024Q1,2024-02,9
2024-02-08 13:04,17878.5,2024-02-08 13:06,17881.75,17881.75,17868.75,3.25,BEARISH,SL,-1.0,17876.75,17870.0,2024Q1,2024-02,13
2024-02-09 13:18,18022.0,2024-02-09 15:18,18052.25,18004.75,18073.75,17.25,BULLISH,timeout,1.7536231884057971,18020.75,18009.75,2024Q1,2024-02,13
2024-02-09 11:29,17981.75,2024-02-09 13:11,18032.75,17964.75,18032.75,17.0,BULLISH,3R,3.0,17977.75,17969.75,2024Q1,2024-02,11
2024-02-12 09:37,18042.75,2024-02-12 09:38,18044.75,18044.75,18036.75,2.0,BEARISH,SL,-1.0,18039.75,18033.75,2024Q1,2024-02,9
2024-02-13 11:02,17743.75,2024-02-13 12:54,17675.5,17675.5,17948.5,68.25,BULLISH,SL,-1.0,17736.25,17680.5,2024Q1,2024-02,11
2024-02-14 11:28,17751.75,2024-02-14 13:28,17756.5,17794.25,17624.25,42.5,BEARISH,timeout,-0.11176470588235295,17789.25,17744.25,2024Q1,2024-02,11
2024-02-14 11:30,17752.25,2024-02-14 13:30,17760.75,17794.25,17626.25,42.0,BEARISH,timeout,-0.20238095238095238,17789.25,17744.25,2024Q1,2024-02,11
2024-02-15 12:31,17871.25,2024-02-15 12:45,17881.75,17881.75,17839.75,10.5,BEARISH,SL,-1.0,17876.75,17870.75,2024Q1,2024-02,12
2024-02-15 12:48,17877.0,2024-02-15 12:49,17862.75,17881.75,17862.75,4.75,BEARISH,3R,3.0,17876.75,17870.75,2024Q1,2024-02,12
2024-02-16 13:38,17843.25,2024-02-16 13:42,17850.25,17850.25,17822.25,7.0,BEARISH,SL,-1.0,17845.25,17841.0,2024Q1,2024-02,13
2024-02-16 10:21,17774.75,2024-02-16 11:57,17882.5,17882.5,17451.5,107.75,BEARISH,SL,-1.0,17877.5,17779.25,2024Q1,2024-02,10
2024-02-19 10:22,17781.5,2024-02-19 10:46,17773.5,17773.5,17805.5,8.0,BULLISH,SL,-1.0,17780.25,17778.5,2024Q1,2024-02,10
2024-02-20 11:23,17562.5,2024-02-20 11:36,17526.5,17526.5,17670.5,36.0,BULLISH,SL,-1.0,17557.5,17531.5,2024Q1,2024-02,11
2024-02-20 11:45,17548.0,2024-02-20 12:00,17489.5,17567.5,17489.5,19.5,BEARISH,3R,3.0,17562.5,17545.75,2024Q1,2024-02,11
2024-02-21 11:39,17488.5,2024-02-21 11:40,17481.0,17481.0,17511.0,7.5,BULLISH,SL,-1.0,17486.75,17486.0,2024Q1,2024-02,11
2024-02-22 11:57,17952.25,2024-02-22 12:59,18019.0,17930.0,18019.0,22.25,BULLISH,3R,3.0,17947.5,17935.0,2024Q1,2024-02,11
2024-02-22 12:04,17952.75,2024-02-22 13:05,18021.0,17930.0,18021.0,22.75,BULLISH,3R,3.0,17947.5,17935.0,2024Q1,2024-02,12
2024-02-23 12:19,18029.25,2024-02-23 12:27,18014.25,18014.25,18074.25,15.0,BULLISH,SL,-1.0,18031.5,18019.25,2024Q1,2024-02,12
2024-02-26 09:52,17983.25,2024-02-26 09:53,17999.0,17999.0,17936.0,15.75,BEARISH,SL,-1.0,17994.0,17992.75,2024Q1,2024-02,9
2024-02-26 12:05,18030.0,2024-02-26 12:24,18051.75,18022.75,18051.75,7.25,BULLISH,3R,3.0,18037.25,18027.75,2024Q1,2024-02,12
2024-02-27 09:31,18020.25,2024-02-27 09:32,18004.5,18004.5,18067.5,15.75,BULLISH,SL,-1.0,18021.5,18009.5,2024Q1,2024-02,9
2024-02-27 13:24,17957.5,2024-02-27 13:58,17969.0,17969.0,17923.0,11.5,BEARISH,SL,-1.0,17964.0,17961.0,2024Q1,2024-02,13
2024-02-28 13:25,17933.75,2024-02-28 13:30,17949.0,17949.0,17888.0,15.25,BEARISH,SL,-1.0,17944.0,17931.75,2024Q1,2024-02,13
2024-02-29 13:44,18026.75,2024-02-29 14:16,18049.25,18019.25,18049.25,7.5,BULLISH,3R,3.0,18026.25,18024.25,2024Q1,2024-02,13
2024-03-01 10:34,18154.25,2024-03-01 11:06,18219.5,18132.5,18219.5,21.75,BULLISH,3R,3.0,18159.5,18137.5,2024Q1,2024-03,10
2024-03-04 11:09,18311.5,2024-03-04 11:24,18303.0,18303.0,18337.0,8.5,BULLISH,SL,-1.0,18309.25,18308.0,2024Q1,2024-03,11
2024-03-05 11:25,17960.5,2024-03-05 13:25,17914.75,17995.75,17854.75,35.25,BEARISH,timeout,1.297872340425532,17990.75,17962.0,2024Q1,2024-03,11
2024-03-06 11:08,18082.25,2024-03-06 11:09,18093.5,18078.5,18093.5,3.75,BULLISH,3R,3.0,18085.0,18083.5,2024Q1,2024-03,11
2024-03-06 11:35,18074.5,2024-03-06 12:31,18166.75,18043.75,18166.75,30.75,BULLISH,3R,3.0,18076.5,18048.75,2024Q1,2024-03,11
2024-03-08 09:43,18319.0,2024-03-08 09:44,18320.25,18320.25,18315.25,1.25,BEARISH,SL,-1.0,18315.25,18306.0,2024Q1,2024-03,9
2024-03-08 10:41,18380.0,2024-03-08 10:46,18348.0,18348.0,18476.0,32.0,BULLISH,SL,-1.0,18380.0,18353.0,2024Q1,2024-03,10
2024-03-11 09:37,17960.0,2024-03-11 09:38,17984.0,17952.0,17984.0,8.0,BULLISH,3R,3.0,17960.5,17957.0,2024Q1,2024-03,9
2024-03-11 11:14,17953.5,2024-03-11 11:24,17938.75,17938.75,17997.75,14.75,BULLISH,SL,-1.0,17949.0,17943.75,2024Q1,2024-03,11
2024-03-12 12:40,18114.5,2024-03-12 12:41,18106.5,18106.5,18138.5,8.0,BULLISH,SL,-1.0,18118.0,18111.5,2024Q1,2024-03,12
2024-03-12 12:31,18133.0,2024-03-12 12:45,18093.25,18146.25,18093.25,13.25,BEARISH,3R,3.0,18141.25,18139.0,2024Q1,2024-03,12
2024-03-13 13:04,18118.0,2024-03-13 15:04,18132.5,18181.0,17929.0,63.0,BEARISH,timeout,-0.23015873015873015,18176.0,18124.5,2024Q1,2024-03,13
2024-03-14 09:40,18135.5,2024-03-14 09:47,18080.75,18153.75,18080.75,18.25,BEARISH,3R,3.0,18148.75,18136.25,2024Q1,2024-03,9
2024-03-14 10:16,18061.75,2024-03-14 10:35,18092.25,18092.25,17970.25,30.5,BEARISH,SL,-1.0,18087.25,18063.0,2024Q1,2024-03,10
2024-03-18 12:56,18257.0,2024-03-18 13:00,18242.75,18242.75,18299.75,14.25,BULLISH,SL,-1.0,18254.0,18247.75,2024Q1,2024-03,12
2024-03-19 09:31,18134.25,2024-03-19 09:32,18139.0,18139.0,18120.0,4.75,BEARISH,SL,-1.0,18134.0,18132.25,2024Q1,2024-03,9
2024-03-19 13:20,18242.25,2024-03-19 15:20,18243.75,18197.25,18377.25,45.0,BULLISH,timeout,0.03333333333333333,18239.0,18202.25,2024Q1,2024-03,13
2024-03-20 10:24,18278.25,2024-03-20 10:27,18298.5,18271.5,18298.5,6.75,BULLISH,3R,3.0,18277.5,18276.5,2024Q1,2024-03,10
2024-03-20 11:34,18278.75,2024-03-20 11:45,18264.75,18264.75,18320.75,14.0,BULLISH,SL,-1.0,18275.0,18269.75,2024Q1,2024-03,11
2024-03-21 13:02,18673.75,2024-03-21 13:31,18655.0,18655.0,18730.0,18.75,BULLISH,SL,-1.0,18676.75,18660.0,2024Q1,2024-03,13
2024-03-21 13:25,18660.25,2024-03-21 13:31,18655.0,18655.0,18676.0,5.25,BULLISH,SL,-1.0,18676.75,18660.0,2024Q1,2024-03,13
2024-03-22 12:04,18554.25,2024-03-22 12:52,18576.0,18576.0,18489.0,21.75,BEARISH,SL,-1.0,18571.0,18563.5,2024Q1,2024-03,12
2024-03-22 12:37,18538.75,2024-03-22 13:12,18601.75,18517.75,18601.75,21.0,BULLISH,3R,3.0,18531.75,18522.75,2024Q1,2024-03,12
2024-03-25 09:58,18484.0,2024-03-25 10:09,18500.25,18500.25,18435.25,16.25,BEARISH,SL,-1.0,18495.25,18477.0,2024Q1,2024-03,9
2024-03-25 10:30,18512.75,2024-03-25 12:30,18518.0,18495.75,18563.75,17.0,BULLISH,timeout,0.3088235294117647,18510.0,18500.75,2024Q1,2024-03,10
2024-03-26 11:02,18559.0,2024-03-26 11:22,18576.75,18576.75,18505.75,17.75,BEARISH,SL,-1.0,18571.75,18563.25,2024Q1,2024-03,11
2024-03-27 10:40,18437.25,2024-03-27 11:30,18396.0,18451.0,18396.0,13.75,BEARISH,3R,3.0,18446.0,18436.25,2024Q1,2024-03,10
2024-03-27 13:14,18420.25,2024-03-27 13:19,18433.0,18416.0,18433.0,4.25,BULLISH,3R,3.0,18432.25,18421.0,2024Q1,2024-03,13
2024-03-28 13:41,18469.5,2024-03-28 13:46,18477.75,18477.75,18444.75,8.25,BEARISH,SL,-1.0,18472.75,18470.0,2024Q1,2024-03,13
2024-04-01 13:47,18459.0,2024-04-01 14:22,18471.5,18471.5,18421.5,12.5,BEARISH,SL,-1.0,18466.5,18461.25,2024Q2,2024-04,13
2024-04-04 13:05,18545.5,2024-04-04 13:41,18529.75,18529.75,18592.75,15.75,BULLISH,SL,-1.0,18546.5,18534.75,2024Q2,2024-04,13
2024-04-08 10:11,18304.75,2024-04-08 10:12,18303.5,18303.5,18308.5,1.25,BULLISH,SL,-1.0,18309.0,18308.5,2024Q2,2024-04,10
2024-04-08 10:11,18304.75,2024-04-08 10:25,18330.0,18330.0,18229.0,25.25,BEARISH,SL,-1.0,18325.0,18307.75,2024Q2,2024-04,10
2024-04-09 12:18,18287.25,2024-04-09 12:19,18283.0,18283.0,18300.0,4.25,BULLISH,SL,-1.0,18313.5,18288.0,2024Q2,2024-04,12
2024-04-09 12:15,18286.5,2024-04-09 14:15,18269.5,18349.25,18098.25,62.75,BEARISH,timeout,0.27091633466135456,18344.25,18284.0,2024Q2,2024-04,12
2024-04-10 11:32,18159.0,2024-04-10 12:53,18176.5,18176.5,18106.5,17.5,BEARISH,SL,-1.0,18171.5,18168.25,2024Q2,2024-04,11
2024-04-18 10:19,17643.0,2024-04-18 10:34,17674.0,17674.0,17550.0,31.0,BEARISH,SL,-1.0,17669.0,17647.75,2024Q2,2024-04,10
2024-04-19 12:48,17237.0,2024-04-19 13:03,17293.5,17293.5,17067.5,56.5,BEARISH,SL,-1.0,17288.5,17241.75,2024Q2,2024-04,12
2024-04-22 09:41,17288.5,2024-04-22 10:14,17261.25,17261.25,17370.25,27.25,BULLISH,SL,-1.0,17293.75,17266.25,2024Q2,2024-04,9
2024-04-22 11:42,17225.5,2024-04-22 12:00,17265.25,17265.25,17106.25,39.75,BEARISH,SL,-1.0,17260.25,17237.0,2024Q2,2024-04,11
2024-04-24 10:16,17723.5,2024-04-24 10:41,17702.0,17702.0,17788.0,21.5,BULLISH,SL,-1.0,17712.25,17707.0,2024Q2,2024-04,10
2024-04-24 10:38,17719.75,2024-04-24 10:41,17701.25,17701.25,17775.25,18.5,BULLISH,SL,-1.0,17713.25,17706.25,2024Q2,2024-04,10
2024-04-25 13:15,17487.5,2024-04-25 13:16,17492.0,17492.0,17474.0,4.5,BEARISH,SL,-1.0,17487.0,17479.0,2024Q2,2024-04,13
2024-04-25 10:38,17391.75,2024-04-25 10:41,17376.5,17376.5,17437.5,15.25,BULLISH,SL,-1.0,17405.75,17381.5,2024Q2,2024-04,10
2024-04-29 10:16,17899.25,2024-04-29 10:17,17894.75,17894.75,17912.75,4.5,BULLISH,SL,-1.0,17900.25,17899.75,2024Q2,2024-04,10
2024-04-29 13:54,17915.5,2024-04-29 14:05,17893.25,17893.25,17982.25,22.25,BULLISH,SL,-1.0,17912.5,17898.25,2024Q2,2024-04,13
2024-04-30 13:47,17713.0,2024-04-30 15:47,17690.0,17760.5,17570.5,47.5,BEARISH,timeout,0.4842105263157895,17755.5,17712.5,2024Q2,2024-04,13
2024-05-01 11:37,17459.0,2024-05-01 13:37,17473.0,17489.5,17367.5,30.5,BEARISH,timeout,-0.45901639344262296,17484.5,17453.75,2024Q2,2024-05,11
2024-05-02 10:28,17499.25,2024-05-02 10:32,17521.0,17521.0,17434.0,21.75,BEARISH,SL,-1.0,17516.0,17501.25,2024Q2,2024-05,10
2024-05-02 10:38,17497.75,2024-05-02 10:58,17521.0,17521.0,17428.0,23.25,BEARISH,SL,-1.0,17516.0,17501.25,2024Q2,2024-05,10
2024-05-03 10:21,17912.75,2024-05-03 12:21,17982.75,17800.75,18248.75,112.0,BULLISH,timeout,0.625,17908.5,17805.75,2024Q2,2024-05,10
2024-05-06 10:19,18088.25,2024-05-06 12:19,18085.75,18073.25,18133.25,15.0,BULLISH,timeout,-0.16666666666666666,18084.0,18078.25,2024Q2,2024-05,10
2024-05-06 12:41,18105.75,2024-05-06 12:47,18113.75,18113.75,18081.75,8.0,BEARISH,SL,-1.0,18108.75,18094.75,2024Q2,2024-05,12
2024-05-07 10:02,18189.5,2024-05-07 10:50,18227.0,18177.0,18227.0,12.5,BULLISH,3R,3.0,18189.0,18182.0,2024Q2,2024-05,10
2024-05-07 11:42,18243.0,2024-05-07 13:42,18239.5,18207.0,18351.0,36.0,BULLISH,timeout,-0.09722222222222222,18240.5,18212.0,2024Q2,2024-05,11
2024-05-08 13:33,18153.0,2024-05-08 13:44,18162.75,18162.75,18123.75,9.75,BEARISH,SL,-1.0,18157.75,18151.25,2024Q2,2024-05,13
2024-05-09 12:00,18179.0,2024-05-09 13:03,18227.0,18163.0,18227.0,16.0,BULLISH,3R,3.0,18186.5,18168.0,2024Q2,2024-05,12
2024-05-09 12:20,18191.0,2024-05-09 14:20,18205.0,18163.0,18275.0,28.0,BULLISH,timeout,0.5,18186.5,18168.0,2024Q2,2024-05,12
2024-05-13 13:24,18292.25,2024-05-13 14:03,18268.25,18300.25,18268.25,8.0,BEARISH,3R,3.0,18295.25,18294.0,2024Q2,2024-05,13
2024-05-16 12:56,18734.0,2024-05-16 13:15,18739.5,18739.5,18717.5,5.5,BEARISH,SL,-1.0,18734.5,18733.25,2024Q2,2024-05,12
2024-05-17 10:06,18645.25,2024-05-17 10:26,18656.25,18656.25,18612.25,11.0,BEARISH,SL,-1.0,18651.25,18650.5,2024Q2,2024-05,10
2024-05-20 13:46,18751.5,2024-05-20 15:46,18756.25,18784.75,18651.75,33.25,BEARISH,timeout,-0.14285714285714285,18779.75,18751.75,2024Q2,2024-05,13
2024-05-21 10:40,18746.75,2024-05-21 10:59,18753.75,18753.75,18725.75,7.0,BEARISH,SL,-1.0,18748.75,18744.25,2024Q2,2024-05,10
2024-05-21 09:39,18702.75,2024-05-21 10:03,18720.5,18720.5,18649.5,17.75,BEARISH,SL,-1.0,18715.5,18708.0,2024Q2,2024-05,9
2024-05-24 10:46,18824.0,2024-05-24 11:11,18904.25,18797.25,18904.25,26.75,BULLISH,3R,3.0,18814.5,18802.25,2024Q2,2024-05,10
2024-05-24 11:40,18887.5,2024-05-24 13:40,18885.25,18861.75,18964.75,25.75,BULLISH,timeout,-0.08737864077669903,18898.25,18866.75,2024Q2,2024-05,11
2024-05-28 10:06,18881.0,2024-05-28 10:46,18917.5,18917.5,18771.5,36.5,BEARISH,SL,-1.0,18912.5,18874.5,2024Q2,2024-05,10
2024-05-29 10:58,18858.0,2024-05-29 11:09,18839.25,18839.25,18914.25,18.75,BULLISH,SL,-1.0,18852.25,18844.25,2024Q2,2024-05,10
2024-05-29 11:12,18843.0,2024-05-29 11:13,18839.25,18839.25,18854.25,3.75,BULLISH,SL,-1.0,18852.25,18844.25,2024Q2,2024-05,11
2024-05-30 09:33,18758.0,2024-05-30 09:34,18725.0,18725.0,18857.0,33.0,BULLISH,SL,-1.0,18748.25,18730.0,2024Q2,2024-05,9
2024-05-30 12:02,18679.75,2024-05-30 14:02,18703.0,18657.5,18746.5,22.25,BULLISH,timeout,1.0449438202247192,18669.75,18662.5,2024Q2,2024-05,12
2024-06-03 13:40,18560.0,2024-06-03 15:27,18597.75,18597.75,18446.75,37.75,BEARISH,SL,-1.0,18592.75,18542.0,2024Q2,2024-06,13
2024-06-05 13:24,18997.75,2024-06-05 13:25,18987.25,18987.25,19029.25,10.5,BULLISH,SL,-1.0,18998.25,18992.25,2024Q2,2024-06,13
2024-06-05 09:38,18833.25,2024-06-05 09:39,18823.25,18823.25,18863.25,10.0,BULLISH,SL,-1.0,18830.25,18828.25,2024Q2,2024-06,9
2024-06-06 10:26,19070.5,2024-06-06 10:32,19090.5,19090.5,19010.5,20.0,BEARISH,SL,-1.0,19085.5,19079.25,2024Q2,2024-06,10
2024-06-07 09:44,19029.25,2024-06-07 11:44,19061.75,18993.25,19137.25,36.0,BULLISH,timeout,0.9027777777777778,19004.0,18998.25,2024Q2,2024-06,9
2024-06-10 13:43,19065.25,2024-06-10 14:30,19042.0,19042.0,19135.0,23.25,BULLISH,SL,-1.0,19062.25,19047.0,2024Q2,2024-06,13
2024-06-10 12:02,19092.0,2024-06-10 13:16,19077.25,19077.25,19136.25,14.75,BULLISH,SL,-1.0,19084.5,19082.25,2024Q2,2024-06,12
2024-06-13 11:50,19602.0,2024-06-13 12:16,19548.75,19619.75,19548.75,17.75,BEARISH,3R,3.0,19614.75,19598.25,2024Q2,2024-06,11
2024-06-14 10:13,19596.25,2024-06-14 10:38,19574.25,19574.25,19662.25,22.0,BULLISH,SL,-1.0,19596.5,19579.25,2024Q2,2024-06,10
2024-06-17 11:36,19743.25,2024-06-17 12:47,19844.5,19709.5,19844.5,33.75,BULLISH,3R,3.0,19739.75,19714.5,2024Q2,2024-06,11
2024-06-19 12:36,19962.25,2024-06-19 19:43,19958.5,19969.5,19940.5,7.25,BEARISH,timeout,0.5172413793103449,19964.5,19963.75,2024Q2,2024-06,12
2024-06-20 12:48,19812.75,2024-06-20 14:48,19769.75,19891.25,19577.25,78.5,BEARISH,timeout,0.5477707006369427,19886.25,19805.25,2024Q2,2024-06,12
2024-06-20 09:48,19980.0,2024-06-20 10:05,19944.0,19992.0,19944.0,12.0,BEARISH,3R,3.0,19987.0,19984.0,2024Q2,2024-06,9
2024-06-25 10:58,19861.75,2024-06-25 11:07,19904.5,19847.5,19904.5,14.25,BULLISH,3R,3.0,19854.0,19852.5,2024Q2,2024-06,10
2024-06-25 13:58,19922.5,2024-06-25 14:09,19935.0,19935.0,19885.0,12.5,BEARISH,SL,-1.0,19930.0,19921.5,2024Q2,2024-06,13
2024-06-27 11:33,19978.25,2024-06-27 11:34,19977.25,19977.25,19981.25,1.0,BULLISH,SL,-1.0,19983.75,19982.25,2024Q2,2024-06,11
2024-06-27 10:53,20014.0,2024-06-27 11:28,20000.25,20000.25,20055.25,13.75,BULLISH,SL,-1.0,20009.75,20005.25,2024Q2,2024-06,10
2024-06-28 10:59,20137.0,2024-06-28 11:01,20100.5,20100.5,20246.5,36.5,BULLISH,SL,-1.0,20148.0,20105.5,2024Q2,2024-06,10
